 73  71   16  15    6   1   10   8    0   0 
 80  62   12  27    3   1    7   3    3   2 
 88  80    6   4    2   4   12   1    2   1 
 43  58   37  29    2   3   13   8    5   2 
 66  80    9   7    4   3   19  10    2   0 
 68  59   17  17    5   2   14  16    1   1 
 80  73   20  11    3   1    7   4    0   1 
 61  76   19  12    7   3   17   3    1   1 
 39  54   32  25    7   4   16  15    6   2 
 76  78   12  16    0   1   11   2    1   3 
  9  10   34  42   12   7   35  31   10  10 
 12  31   40  31   11   4   32  29    5   5 
 55  76   10  15    8   3   13   9    9   2 
 67  84   20  14    6   4    2   2    0   1 
 74  91    9   5    3   1    9   7    0   1 
 43  73   21   8    6   5   14  14   11   5 
 62  78   16   9    9   4   11   9    2   0 
 75  82   20   8    2   1    8   4    0   0 
 44  66   34  15    5   2   19   9    3   3 
 66  88   15  10    2   3   12   4    0   0 
 22  34   30  36   10  11   28  20    5   4 
 81  82   11   8    1   5    6   5    1   0 
 45  51   36  30    1   3   16   8    7   3 
 66  75   18   8    3   2   10   6    3   9 
 82  70   10  14    1   3    9   5    3   3 
 92  91    6   9    0   0    2   0    0   0 
 48  32   23  24    5   3   23  17    6  19 
